0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
1001.09,224.108,998.361,356.641,910.025,353.709,889.43,483.141,880.372,603.899,1086.54,359.608,1098.3,486.088,1095.54,615.562,995.217,589.133,948.107,583.314,910.066,768.662,883.425,951.191,1042.45,589.158,1051.24,780.491,1068.77,968.77,980.627,203.671,1021.77,209.453,957.085,224.19,1045.35,232.966,1095.45,1024.73,1113.03,1015.9,1051.21,977.727,833.35,998.114,827.522,977.748,892.342,965.911
998.301,233.068,998.183,339.05,927.708,338.949,883.6,338.978,851.035,300.745,1065.86,341.839,1092.46,362.464,1116.04,336.028,977.768,580.298,930.705,577.436,907.166,765.79,883.375,951.246,1024.78,580.288,1048.23,771.691,1068.77,971.705,977.828,221.178,1018.85,221.296,954.217,235.941,1042.39,244.652,1095.33,1024.75,1110.15,1015.89,1051.2,980.579,821.632,998.192,815.856,980.623,895.222,968.837
998.301,233.068,998.183,339.05,927.708,338.949,883.6,338.978,851.035,300.745,1065.86,341.839,1092.46,362.464,1116.04,336.028,977.768,580.298,930.705,577.436,907.166,765.79,883.375,951.246,1024.78,580.288,1048.23,771.691,1068.77,971.705,977.828,221.178,1018.85,221.296,954.217,235.941,1042.39,244.652,1095.33,1024.75,1110.15,1015.89,1051.2,980.579,821.632,998.192,815.856,980.623,895.222,968.837
998.29,235.914,998.241,339.032,927.708,338.96,883.537,330.182,854.082,285.969,1068.79,341.808,1095.43,341.858,1118.88,315.445,980.566,577.465,933.516,577.393,909.98,765.736,883.384,951.214,1024.86,580.313,1048.26,774.587,1068.72,968.866,977.82,221.182,1018.85,221.295,954.181,235.911,1042.38,244.656,1095.33,1024.78,1110.13,1015.91,1048.35,977.77,818.732,998.183,815.843,980.596,895.207,968.786
998.338,235.914,998.328,341.851,927.587,341.795,883.415,318.417,854.015,268.363,1068.94,341.882,1095.35,338.955,1118.97,300.746,980.573,580.383,933.488,580.327,909.98,765.785,883.388,951.197,1024.89,580.4,1048.3,771.645,1068.75,971.685,980.565,221.195,1018.91,221.296,954.264,235.962,1042.39,244.662,1095.32,1024.76,1110.14,1015.91,1048.41,977.806,818.758,998.214,815.848,980.633,895.233,965.924
998.342,235.937,998.232,339.081,921.773,339.017,883.397,315.289,854.079,253.594,1068.94,341.804,1095.51,324.267,1121.83,291.911,977.777,583.232,930.648,580.344,910.033,765.777,883.38,951.221,1024.87,580.407,1048.23,774.546,1068.77,971.699,980.591,221.183,1018.91,221.311,954.27,235.99,1042.36,244.674,1095.38,1024.83,1112.96,1018.77,1048.42,980.566,818.725,998.181,815.829,980.597,895.231,968.823
998.351,235.955,998.242,339.102,924.663,339.036,883.4,312.445,856.987,247.719,1068.91,341.812,1095.52,321.272,1124.83,280.095,977.741,583.265,930.57,580.389,909.949,765.791,883.416,951.161,1024.88,583.237,1048.23,771.646,1068.76,971.715,980.603,221.192,1018.92,221.331,954.262,235.969,1042.34,244.71,1095.4,1024.81,1113.01,1015.96,1048.39,980.57,818.683,998.208,815.81,980.66,898.134,965.936
998.38,235.956,998.258,341.866,924.629,341.822,883.526,309.529,859.817,247.711,1068.94,341.883,1095.33,324.215,1121.95,274.173,977.802,580.296,930.647,577.452,910.028,765.687,883.427,951.16,1027.65,580.294,1048.29,774.599,1068.74,971.679,980.631,221.188,1021.64,221.32,957.038,235.999,1042.41,244.671,1095.37,1024.76,1112.98,1015.89,1048.35,980.557,818.758,998.177,815.861,980.619,898.129,965.896
1001.07,235.975,998.314,341.902,924.696,341.88,883.513,309.591,859.897,244.9,1068.96,341.907,1095.48,318.448,1121.83,271.338,980.624,583.295,933.456,583.25,909.974,765.863,883.43,951.201,1027.8,583.297,1048.28,783.36,1068.72,971.702,980.645,221.206,1021.67,221.324,957.063,238.904,1042.39,244.692,1095.38,1024.73,1112.98,1015.86,1048.37,980.587,818.73,998.216,815.84,980.66,895.288,968.786
1001.08,235.958,998.283,341.86,924.658,341.817,883.428,309.557,859.879,247.658,1068.94,341.892,1098.37,318.365,1121.89,271.266,980.561,577.454,930.633,577.367,910.014,765.669,883.46,951.144,1027.75,580.28,1048.32,774.577,1066.01,971.664,980.674,221.199,1021.68,221.337,957.066,238.936,1042.37,244.78,1095.38,1024.74,1112.98,1015.87,1048.32,980.548,818.696,998.201,815.836,980.647,898.194,965.849
1001.08,235.958,998.283,341.86,924.658,341.817,883.428,309.557,859.879,247.658,1068.94,341.892,1098.37,318.365,1121.89,271.266,980.561,577.454,930.633,577.367,910.014,765.669,883.46,951.144,1027.75,580.28,1048.32,774.577,1066.01,971.664,980.674,221.199,1021.68,221.337,957.066,238.936,1042.37,244.78,1095.38,1024.74,1112.98,1015.87,1048.32,980.548,818.696,998.201,815.836,980.647,898.194,965.849
998.384,221.307,998.243,350.781,910.039,344.968,880.668,480.253,839.403,600.802,1080.72,359.529,1107.19,483.175,1119.01,603.971,986.5,592.129,936.524,589.18,912.909,768.704,883.417,951.242,1039.44,592.116,1051.25,783.378,1068.73,971.773,980.578,203.55,1021.73,206.482,957.081,224.182,1045.35,233.006,1095.38,1024.84,1110.15,1018.76,1048.35,980.634,824.618,998.356,818.702,983.546,895.253,968.789
1001.1,235.976,998.306,341.843,927.518,341.792,883.435,315.336,859.92,250.643,1068.95,341.855,1095.53,321.288,1121.88,271.324,980.548,580.392,930.666,580.35,909.971,765.805,883.434,951.144,1027.67,580.395,1048.32,777.519,1065.99,971.686,980.697,221.203,1021.69,221.35,957.058,238.918,1042.4,244.806,1095.41,1024.81,1113,1015.95,1048.31,980.554,818.741,998.206,815.846,980.654,898.144,965.859
