lh,rh,ls,rs,w,ll,rl,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
0,0,5549,7004,524,434,256,998.404,224.146,1001.1,350.791,912.895,347.86,889.346,483.211,880.61,609.728,1089.39,359.509,1098.29,486.238,1095.26,612.741,992.409,580.283,942.334,577.345,924.634,762.908,886.461,954.029,1045.2,580.405,1048.23,771.693,1060.05,968.818,980.627,203.668,1021.77,209.493,957.042,221.347,1045.38,230.044,1080.7,1021.85,1095.49,1010.08,1048.19,977.682,851.102,1001.32,836.427,992.34,901.047,965.924
0,0,4887,6782,569,434,270,1001.24,403.661,998.152,391.929,904.165,394.866,883.373,524.345,877.542,636.255,1086.54,391.904,1101.23,524.329,1095.5,636.189,986.489,580.345,936.472,577.431,918.814,762.758,886.379,954.035,1036.54,580.367,1045.36,768.766,1062.97,962.939,986.489,388.907,1021.68,386.097,954.105,362.407,1045.4,359.57,1077.71,1018.9,1095.47,1007.05,1048.4,977.631,845.195,1001.34,836.335,992.377,901.098,968.853
0,0,5721,5842,624,459,786,992.32,409.647,998.186,394.886,904.161,397.818,880.67,524.4,877.536,639.123,1089.41,397.82,1104.2,527.328,1095.44,636.275,986.52,580.303,936.483,577.414,921.773,762.746,886.391,953.996,1039.41,580.345,1045.46,774.538,1063.06,968.766,977.66,394.945,1007.09,397.836,954.042,365.492,1045.25,368.449,1077.72,1021.7,1095.46,1007.08,1048.44,977.726,845.172,1001.32,836.329,992.347,901.071,968.831
0,0,3426,6172,699,477,506,983.586,415.558,998.236,397.824,906.899,397.861,880.605,527.324,877.508,639.178,1086.59,403.665,1104.21,527.443,1095.4,639.122,980.701,580.39,930.724,577.456,918.847,762.72,886.375,954.065,1030.68,583.258,1045.35,771.64,1063.03,965.869,974.798,409.517,1001.3,409.558,954.057,368.474,1045.21,377.22,1077.69,1021.67,1095.47,1007.05,1051.18,977.681,842.323,1001.25,836.324,992.304,901.074,971.73
262,0,3387,7550,726,510,563,980.711,433.175,998.229,406.632,904.178,403.763,880.616,527.393,877.474,639.158,1089.5,409.573,1104.24,530.166,1095.33,639.232,980.646,580.296,930.698,577.366,921.758,762.734,886.419,951.289,1030.64,580.331,1045.33,771.654,1063.05,965.889,977.652,415.59,0,0,951.247,380.174,1045.39,388.922,1074.87,1018.87,1095.42,1004.23,1051.22,977.728,842.228,1001.22,836.286,989.422,901.143,968.83
269,265,1881,9260,767,502,691,0,0,998.18,409.552,904.104,409.5,880.609,527.366,877.525,639.192,1089.42,409.703,1107.11,530.271,1095.36,639.219,983.604,583.309,933.612,580.348,918.746,762.833,886.399,954.073,1033.62,586.212,1045.33,771.582,1065.84,968.818,0,0,0,0,948.278,383.068,1045.42,400.753,1077.72,1021.71,1095.5,1007.11,1051.22,977.793,839.438,1001.23,836.275,989.468,901.153,971.778
276,299,1379,7819,832,503,722,1001.18,503.897,998.178,409.715,904.131,409.546,880.627,527.413,877.578,639.197,1089.44,412.586,1104.21,530.304,1095.38,639.186,986.539,574.451,936.48,574.406,924.649,762.734,883.651,954.147,1039.46,574.481,1045.38,771.601,1065.87,968.788,0,0,0,0,954.02,406.597,1045.3,403.716,1074.89,1021.67,1095.45,1007.09,1051.26,977.767,842.217,1001.28,833.532,992.347,901.116,974.579
288,345,767,6219,979,504,1099,0,0,998.262,409.716,904.157,409.7,880.664,527.443,877.591,639.178,1089.53,412.489,1107.1,530.255,1095.37,639.201,992.375,574.474,942.29,574.453,924.586,762.733,883.631,954.13,1042.45,574.521,1045.35,768.729,1065.89,968.841,0,0,0,0,954.174,412.505,1045.34,394.959,1077.7,1021.7,1095.48,1007.12,1051.26,980.553,842.246,1001.27,833.531,992.329,901.08,971.819
312,410,1353,6582,1061,483,7557,0,0,998.262,409.716,904.157,409.7,880.664,527.443,877.591,639.178,1089.53,412.489,1107.1,530.255,1095.37,639.201,992.375,574.474,942.29,574.453,924.586,762.733,883.631,954.13,1042.45,574.521,1045.35,768.729,1065.89,968.841,0,0,0,0,954.174,412.505,1045.34,394.959,1077.7,1021.7,1095.48,1007.12,1051.26,980.553,842.246,1001.27,833.531,992.329,901.08,971.819
337,475,1254,4720,1196,481,2631,983.53,436.146,998.212,409.488,904.163,409.512,880.67,527.446,877.621,639.157,1089.49,409.633,1104.23,530.254,1095.41,639.143,992.373,580.387,942.351,580.323,918.753,765.641,886.387,954.087,1042.4,583.255,1045.33,771.613,1063.06,962.986,0,0,0,0,954.005,403.648,1045.36,389.12,1077.78,1021.76,1095.52,1007.14,1048.42,977.668,842.258,1001.25,833.552,992.318,901.125,971.773
367,555,1123,5078,1307,479,2760,0,0,998.221,406.556,904.186,403.744,880.663,527.363,877.627,639.122,1089.47,409.457,1104.18,527.456,1095.37,639.111,986.547,580.365,936.508,580.293,921.785,762.897,886.388,954.077,1039.47,580.385,1045.43,771.649,1065.89,968.856,0,0,0,0,951.201,380.204,1045.28,385.989,1077.69,1021.68,1095.46,1007.1,1051.27,977.808,839.436,1001.24,833.544,989.475,901.127,971.741
389,605,1534,4322,1494,482,944,1004.13,227.099,1001.13,344.896,912.964,342.063,886.461,480.217,880.53,603.942,1089.49,353.702,1098.45,486.213,1095.37,618.581,995.248,580.364,942.305,577.408,924.56,765.755,886.383,954.143,1045.3,583.259,1048.38,780.476,1062.97,968.763,989.423,209.457,1024.78,215.291,957.134,221.197,1048.39,224.253,1074.89,1021.75,1095.48,1009.99,1048.25,977.754,851.11,1001.32,836.44,992.343,898.238,971.678
402,656,1548,3472,1678,483,540,980.632,421.393,998.216,397.818,904.17,400.73,880.658,527.344,880.365,639.131,1086.57,400.771,1104.25,527.393,1095.37,639.135,983.512,586.212,933.542,580.395,921.709,762.846,886.385,954.044,1030.69,589.135,1045.42,771.628,1065.86,971.664,0,0,0,0,951.19,374.249,1045.27,380.171,1080.68,1021.78,1095.54,1010.01,1048.43,980.591,842.319,1001.15,836.326,986.516,901.065,971.684
418,659,1359,1897,1991,486,588,989.431,409.613,998.309,392.011,907.014,392.038,883.377,524.377,877.614,636.246,1089.54,397.815,1101.35,524.455,1095.4,633.344,980.7,586.251,933.509,580.394,921.662,762.823,886.427,951.278,1030.64,592.043,1045.42,768.758,1065.87,971.721,977.659,397.819,1007.09,397.836,954.086,365.53,1045.23,365.44,1077.76,1021.8,1095.49,1010.03,1051.22,980.601,845.165,1001.29,836.316,992.308,901.146,968.782
409,647,1394,1696,2326,484,557,998.338,391.986,998.31,389.169,907.039,391.957,883.397,524.328,880.452,633.312,1089.55,392.027,1104.17,524.403,1095.46,627.526,986.509,583.315,936.518,580.368,921.783,762.895,886.479,951.257,1036.56,586.236,1045.37,771.674,1065.83,971.727,980.618,386.003,1015.9,383.047,954.044,353.727,1045.28,353.668,1083.58,1021.86,1098.3,1010.08,1048.38,980.641,842.239,1001.26,836.28,989.448,903.946,968.766
406,656,1409,1561,3142,559,951,998.286,385.923,998.246,388.947,906.961,389.005,883.358,521.389,880.436,627.531,1089.49,389.013,1110.05,521.436,1095.43,627.503,995.249,580.369,945.278,580.316,924.566,762.755,886.428,954.006,1045.2,583.244,1045.46,777.469,1063.06,971.765,977.747,368.37,1012.96,368.381,954.052,341.944,1042.46,341.932,1077.81,1021.86,1095.5,1012.93,1048.43,980.672,842.281,1001.31,836.285,992.354,901.144,968.812
409,668,1407,1454,3340,528,935,998.358,368.444,998.216,386.07,906.945,386.178,883.454,512.607,880.418,627.424,1089.39,386.062,1104.28,512.653,1095.35,624.586,989.389,580.343,939.393,577.468,924.572,762.852,886.492,954.117,1039.42,583.229,1045.45,774.571,1065.84,968.827,980.574,359.499,1015.91,359.527,951.293,324.279,1042.39,333.036,1077.74,1021.8,1095.47,1010.03,1051.18,977.749,839.429,1001.28,833.554,992.321,903.967,971.786
403,681,586,1368,6273,532,504,998.288,353.669,998.219,383.079,906.968,383.166,883.559,506.815,880.425,624.612,1089.42,383.052,1107.15,506.888,1095.37,624.467,992.351,583.299,942.29,580.386,924.653,765.656,886.453,954.094,1042.41,583.313,1045.46,780.391,1065.86,971.67,977.748,338.963,1012.95,339.037,951.256,315.397,1042.32,318.372,1077.79,1021.81,1095.48,1010.03,1051.2,977.812,842.248,1001.34,836.273,992.363,903.943,971.744
