lh,rh,ls,rs,w,ll,rl,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
275,0,10962,3306,420,329,0,1004.18,218.306,1001.08,344.874,912.873,341.969,886.474,477.339,865.855,597.865,1089.43,353.634,1104.21,480.301,1112.95,600.948,977.787,586.246,930.62,583.303,910.065,762.894,883.638,951.147,1024.91,586.254,1048.28,780.383,1068.72,971.685,992.391,197.818,1024.85,200.689,962.998,218.337,1048.36,224.21,1086.54,1021.91,1098.3,1012.96,1051.25,977.797,857.028,1004.16,842.251,995.274,898.12,959.993
289,0,10712,3317,448,330,523,998.091,209.437,992.308,342.048,904.038,344.831,874.627,480.284,836.414,598.037,1074.8,344.846,1098.4,474.385,1122,598.046,977.684,597.928,927.67,595.046,904.189,765.825,886.417,951.201,1027.69,597.952,1048.34,783.347,1065.89,968.822,977.552,197.559,1015.91,197.673,951.187,218.215,1036.47,221.361,1089.53,1024.68,1104.2,1012.98,1048.32,977.761,856.987,1004.26,842.242,995.332,901.098,957.163
301,0,9745,3364,463,345,0,998.128,209.511,995.2,344.953,904.093,344.904,871.719,480.366,836.326,600.885,1074.88,350.712,1098.38,474.389,1122,598.107,977.804,597.983,930.541,597.907,904.173,768.699,886.483,951.075,1027.77,597.999,1048.41,786.268,1065.85,968.772,977.584,197.602,1015.97,197.723,951.209,215.396,1039.41,224.136,1092.32,1024.71,1104.23,1012.97,1048.27,977.637,857.03,1004.23,842.275,995.315,901.151,954.243
314,0,9715,3357,475,352,0,998.144,215.297,995.237,347.782,904.11,344.906,871.693,483.111,833.556,600.822,1077.74,353.686,1101.31,480.159,1124.79,600.979,977.692,597.965,927.667,594.995,904.075,771.704,886.418,951.07,1027.75,600.847,1051.2,786.443,1065.85,968.766,977.635,197.731,1018.77,197.836,951.22,218.22,1039.45,224.111,1089.55,1021.9,1104.18,1010.06,1048.25,977.702,857.036,1004.26,842.274,995.337,901.1,954.241
319,0,7983,3455,474,365,289,998.185,218.278,995.312,350.791,904.164,347.788,871.741,483.112,833.494,600.976,1077.78,359.47,1104.17,480.352,1124.88,603.829,977.79,600.884,930.442,597.937,901.106,780.507,886.363,951.233,1027.81,600.946,1051.21,789.261,1066,968.851,977.657,200.534,1018.87,200.734,951.301,221.176,1042.3,227.204,1089.47,1021.87,1101.31,1010.05,1048.41,977.72,857.002,1004.26,842.244,995.358,901.042,959.963
331,0,6219,3364,449,388,0,998.182,221.342,998.113,359.546,907.01,356.555,871.657,486.201,833.493,603.94,1083.57,362.472,1104.22,483.211,1127.78,609.707,977.807,606.797,930.449,603.823,895.296,783.294,886.41,951.17,1030.7,606.858,1051.27,789.224,1066.01,965.849,977.64,200.752,1018.9,203.699,953.975,221.337,1042.43,230.056,1089.46,1021.9,1101.29,1012.93,1048.42,977.551,856.956,1010,842.22,998.219,901.109,957.047
330,260,5140,3376,454,419,0,998.261,227.081,998.162,362.478,907.084,362.42,865.885,495.001,833.458,612.685,1083.58,365.354,1104.24,489.036,1124.89,618.589,980.629,612.66,930.46,603.934,889.371,783.381,883.625,951.248,1039.48,615.596,1060.02,789.431,1065.96,968.785,977.703,209.511,1018.88,215.4,954.01,227.227,1042.43,235.954,1089.46,1024.64,1101.29,1012.95,1048.38,977.609,856.938,1009.98,839.409,998.197,901.089,957.149
453,265,6478,3223,441,426,0,998.298,233.045,998.144,365.573,907.044,365.441,871.7,500.91,833.372,621.401,1083.61,371.334,1107.13,500.796,1127.8,621.637,980.642,612.712,930.494,603.931,886.37,786.341,886.426,951.262,1039.48,618.551,1068.92,789.351,1065.96,962.932,977.777,218.344,1021.67,221.263,953.991,235.91,1042.42,244.844,1089.46,1021.91,1101.31,1012.92,1048.27,974.724,856.915,1010.08,839.416,998.277,903.958,959.985
461,262,10169,3311,473,457,0,998.316,244.738,998.244,374.287,907.124,368.45,871.666,503.837,833.368,624.504,1086.55,383.065,1110.12,506.688,1127.8,627.428,977.812,621.451,927.721,615.632,883.542,789.208,886.411,951.241,1036.47,621.553,1071.8,801.084,1065.9,957.145,977.794,224.146,1021.71,224.299,954.076,244.696,1045.26,247.826,1089.52,1024.76,1104.24,1015.87,1045.45,971.728,856.936,1012.96,839.393,998.314,901.181,957.128
475,265,9233,3439,474,484,0,1001.08,250.776,998.234,386.038,909.961,385.944,868.79,512.582,833.32,633.254,1086.5,388.937,1112.94,512.685,1130.71,642.153,980.583,624.451,930.449,621.484,880.612,789.31,886.464,951.245,1036.48,624.561,1071.93,806.87,1065.92,957.159,980.552,236.008,1021.76,241.796,954.055,250.694,1045.37,259.453,1092.33,1024.78,1107.13,1015.92,1045.44,974.581,856.93,1015.88,842.222,1001.15,903.996,957.133
450,274,8385,3546,495,589,0,1001.1,265.437,998.361,391.992,910.049,389.127,874.601,524.409,830.51,644.996,1086.61,397.86,1112.98,527.309,1130.72,648.042,983.589,627.442,930.551,621.609,880.596,792.324,886.38,951.213,1045.25,636.206,1077.72,809.769,1065.93,960.06,980.612,244.881,1021.81,247.732,954.227,265.294,1045.34,271.274,1089.41,1024.69,1104.21,1015.85,1045.46,974.716,856.963,1012.99,839.423,998.347,901.18,957.021
393,284,9478,4028,507,625,0,998.302,365.381,998.381,459.608,912.93,459.549,883.475,589.197,856.862,715.602,1086.6,462.598,1112.94,589.172,1124.9,712.676,992.296,665.621,936.455,659.809,883.346,792.298,886.411,954.034,1045.21,668.595,1083.62,815.77,1065.92,960.019,977.812,342.02,1018.89,342.035,953.982,338.926,1045.38,339.089,1083.65,1021.91,1098.38,1012.93,1045.42,971.711,854.081,1015.87,839.312,998.348,904,960
438,307,2692,3916,528,704,0,1001.14,274.279,998.398,406.623,912.93,403.697,871.648,530.427,830.385,648.174,1086.59,409.562,1112.98,533.286,1133.59,662.716,986.504,636.233,930.65,630.316,880.476,806.954,886.42,951.28,1045.28,642.07,1080.65,812.796,1065.94,968.777,980.652,256.597,1021.88,265.333,954.271,271.389,1045.44,285.928,1089.45,1024.68,1104.18,1015.86,1045.45,977.584,856.927,1012.98,839.416,998.339,903.985,957.129
612,333,5127,4047,550,712,848,1001.2,291.748,1001.08,412.678,912.978,412.551,871.722,544.994,824.633,665.73,1089.4,418.464,1115.84,547.961,1133.63,671.478,983.502,644.998,930.505,639.211,871.739,795.14,886.421,954.019,1042.33,647.955,1083.64,812.757,1065.92,962.913,983.554,268.427,1021.94,271.308,957.024,283.08,1048.2,294.749,1089.49,1024.79,1104.24,1018.76,1045.43,974.72,856.908,1013.03,839.369,1001.1,904.005,957.176
724,389,5100,3269,563,717,20531,1001.21,300.712,1001.09,430.091,912.982,424.335,868.807,553.875,821.679,671.629,1089.42,433.035,1113.1,553.89,1136.59,674.608,980.659,647.974,927.74,642.139,865.842,795.178,886.395,954.033,1039.52,650.996,1089.42,812.849,1065.94,965.879,980.714,283.003,1024.66,288.911,954.225,294.75,1048.25,303.672,1089.47,1024.71,1104.21,1015.89,1045.43,974.782,856.874,1015.93,839.382,1001.16,904.006,959.976
784,467,5668,3567,566,697,18396,1001.23,315.358,1001.14,436.08,915.815,433.223,868.808,568.568,818.752,686.259,1089.43,439.098,1113.05,565.543,1136.63,692.122,983.613,650.957,930.586,647.926,862.946,806.89,886.386,954.017,1042.45,656.83,1092.27,815.742,1065.87,962.942,983.572,292.004,1024.63,294.863,954.267,303.701,1048.24,315.454,1092.35,1024.75,1107.12,1015.93,1045.34,974.657,856.852,1015.93,839.377,1001.18,903.993,957.18
680,544,6096,3341,583,721,21440,1001.33,321.425,1001.23,442.02,921.708,439.081,871.644,574.553,818.726,692.082,1089.5,450.755,1115.82,574.511,1139.42,698.063,989.38,662.663,930.703,651.03,862.822,801.034,886.438,954.149,1045.29,665.705,1092.36,815.8,1065.84,962.982,983.607,303.712,1024.74,309.549,957.009,315.504,1048.31,318.528,1092.35,1024.81,1107.12,1018.76,1045.31,974.641,856.842,1015.88,839.389,1001.15,904.062,965.844
866,639,5838,3523,591,733,21461,1001.33,338.817,1001.25,456.614,918.821,453.756,868.798,580.293,815.875,698.091,1089.51,459.548,1115.9,580.426,1139.56,709.811,986.459,668.504,930.682,662.698,862.87,806.855,886.403,954.049,1042.39,671.465,1089.55,815.84,1065.87,965.833,983.595,315.451,1024.72,318.258,954.254,324.293,1048.31,335.96,1089.49,1024.77,1101.34,1015.93,1045.34,974.62,856.893,1010.03,839.413,998.276,904.03,960.061
827,696,6794,3529,604,721,21363,1001.36,344.806,1001.24,459.738,921.691,459.566,865.865,592.063,815.763,712.684,1089.53,465.519,1115.88,595.034,1139.54,715.786,983.605,665.687,930.704,659.829,862.822,809.756,886.362,953.996,1039.46,668.655,1092.33,818.676,1063.06,960.061,986.507,321.426,1024.76,330.093,957.031,338.82,1048.32,341.89,1089.54,1024.75,1104.2,1015.9,1045.31,971.788,856.934,1010.04,842.219,998.28,903.956,957.135
